filename,pred_str
sample-000000.mp3,BE CAREFUL WITH YOUR PROGNOSTICATIONS SAID THE STRANGER
sample-000001.mp3,THEN WHY SHOULD THEY BE SURPRISED WHEN THEY SEE ONE
sample-000002.mp3,A YOUNG ARAB ALSO LOADED DOWN WITH BAGGAGE ENTERED AND GREETED THE ENGLISHMAN
sample-000003.mp3,I FELT THAT EVERYTHING I OWNED WOULD BE DESTROYED
sample-000004.mp3,HE MOVED ABOUT INVISIBLE BUT EVERYONE COULD HEAR HIM
sample-000005.mp3,BUT EVERYTHING HAD CHANGED
sample-000006.mp3,ARE YOU SURE THIS IS CLAIRE
sample-000007.mp3,IT HAD TOLD HIM TO DIG WHERE HIS TEARS FELL
sample-000008.mp3,THE SHOP FOLKS WERE TAKING DOWN THEIR SHUTTERS AND PEOPLE WERE OPENING THEIR BEDROOM WINDOWS
sample-000009.mp3,THE TEACHER TOUGHT THAT HEAD TAUGHT HIMSELF ALL HE COULD
sample-000010.mp3,THE BOY STEPPED CLOSER TO THE GIRL AND WHEN SHE SMILED HE DID THE SAME
sample-000011.mp3,YOU HAVEN'T SEEN ANYTHING YET
sample-000012.mp3,BUT I FOUND IT DIFFICULT TO GET TO WORK BECAUSE OF THE INVESTIGATIONS
sample-000013.mp3,IN THOSE DAYS VERY FEW OF THE PEOPLE HAD ANY IDEA ABOUT ASTRONOMY
sample-000014.mp3,WHEN I'M EATING THAT'S ALL I THINK ABOUT
sample-000015.mp3,GOT ANYTHING NEW ONBY HANGING
sample-000016.mp3,IS THAT WHAT YOU WANT ME TO TELL VINCENT
sample-000017.mp3,ONE OF US IS GOING TO JAIL
sample-000018.mp3,TO ROURISH THE FALCON
sample-000019.mp3,THOSE CONVENTION'S GONNA COST PLENTY
sample-000020.mp3,COMING HOME A PARTY OF TOURISTS PASSED US SINGING AND PLAYING MUSIC
sample-000021.mp3,NEXT IN STELAN EXTENSION THAT MAKES IT POSSIBLE TO ADD CUSTOME FIGHT AND COMMANDS
sample-000022.mp3,THE BOY HAD MET THE ALCHEMIST
sample-000023.mp3,IT WAS STARLIGHT AND I EXPLAINED THE SIGNS OF THE ZODIAC TO HER
sample-000024.mp3,THOUGH YOU WON'T BLAME HER
sample-000025.mp3,BUT THAT'S WHY YOU CREATED THE GAME IN THE FIRST PLACE THE BOY ANSWERED
sample-000026.mp3,DON'T SAY THAT AGAIN
sample-000027.mp3,HE HAD SEEN THIS SHOOTING STAR AND WAS PERSUADED THAT A METEORITE LAY SOMEWHERE NEARBY
sample-000028.mp3,IT TURNED OUT TO BE A BITTER TEA
sample-000029.mp3,YOU GONNA THROW A ROCK
sample-000030.mp3,AMONG THESE PEOPLE WERE A COUPLE OF CYCLISTS A GARDENER I EMPLOYED SOMETIMESAND A GIRL CARRYING A BABY
sample-000031.mp3,MIGHT TAX DOLLARS PAY FOR THOSE PUBLIC SCHOOL PROMS
sample-000032.mp3,THEY LOOKED FOR THE FALLEN MASS BUT FOUND NOTHING
sample-000033.mp3,I WAS JUST IN TOWN EARLIER THIS YEAR SO IT IS KIND OF CRAZY TO THINK ABOUT WHAT TOOK PLACE RIGHT AFTER
sample-000034.mp3,IDONT WANT TO SEE THAT MAP COVERED BEFORE WE GET THROUGH
sample-000035.mp3,IT MADE ME VERY DEPRESSED
sample-000036.mp3,IT'S IMPORTANT TO KEEP AN OPEN MIND AND SHE HAS URGED ME TO DO THE SAME
sample-000037.mp3,MINE'S IN THE DOOR
sample-000038.mp3,FROM THIS PERSPECTIVE YOU CAN SEE THE CONCENTRIC CIRCLES
sample-000039.mp3,HE MUST BE DISGUISED TO AVOID IN CONTEST WITH KHIVES
sample-000040.mp3,OGILVY WATCHED TILL ONE AND THEN GAVE UP
sample-000041.mp3,I DON'T KNOW WHERE TO GO
sample-000042.mp3,HIS SPEECH ENDED IN STANDING OVATION
sample-000043.mp3,IN A WAY SO AM I HE SAID
sample-000044.mp3,WHEN THE SUN SETS THE MAN WILL ONCE AGAIN SURRENDER THE ARMSH TO ME
sample-000045.mp3,I WAS SCARED BUT WASTED NO TIME IN GOING OUT AND CROSSING THE BRIDGE TO THE SAND
sample-000046.mp3,WE MUST BE GOOD
sample-000047.mp3,HE ALMOST BEGAN TO TENL ABOUT HIS TREASURE BUT DECIDED NOT TO DO SO
sample-000048.mp3,NOT EVEN THE TRIBAL CHIEFTAINS ARE ABLE TO SEE HIM WHEN THEY WANT TO
sample-000049.mp3,WHY DIDN'T YOU TELL ME
sample-000050.mp3,THEY COULD BARELY SEE THE BOY
sample-000051.mp3,OUR GENERATOR HAS BEEN DISRUPTED BY UTRAHIGH FREQUENCY WAVES
sample-000052.mp3,HE NEEDED SOMEONE TO TALK TO SO AS TO AVOID THINKING ABOUT THE POSSIBILITY OF WAR
sample-000053.mp3,ALMOST EVERYONE HERE SPEAKS SPANISH
sample-000054.mp3,THE REPORT WAS LARGELY SCATHING
sample-000055.mp3,NO ONE ATTACKS AN OASIS
sample-000056.mp3,WHERE'S THE OLD GOAT
sample-000057.mp3,BEFORE GUNS WERE INVENTED ARMIES HAD TO THROW BULLETS AT EACH OTHER AND OBILET TOUCHED YOU IF YOU HAD TO SIT OUT UNTIL THE NEXT WAR
sample-000058.mp3,IT WAS THE TIME OF DAY WHEN ALL OF SPAIN SLEPT DURING THE SUMMER
sample-000059.mp3,THERE WERE MOUNTAINS IN THE DISTANCE
sample-000060.mp3,EXCUSE YOU FOR WHAT
sample-000061.mp3,YESTERDAY I WAITED FOREVER FOR THE SUBWAY TRAIN
sample-000062.mp3,I'LL GO RIGHT AFTER IT
sample-000063.mp3,JUST MAKE YOURSELVES AT HOME
sample-000064.mp3,AND YOU'VE TOLD ME ABOUT OMENDS
sample-000065.mp3,WHERE WAS HIS HORSE
sample-000066.mp3,IT WAS GLARINGLY HOT NOT A CLOUD IN THE SKY NOR A BREATH OF WIND
sample-000067.mp3,COMPILING THE LINNOX COLONEL CAN BE TIME CONSUMING
sample-000068.mp3,IF THAT GUY LAYS AN EGG
sample-000069.mp3,THE BRASS LAMP HAD BEEN DISTURBED
sample-000070.mp3,SADLY MY DREAM OF BECOMING A SQUIRREL WHISPERER MAY NEVER HAPPEN
sample-000071.mp3,WHO DO YOU THINK WRITES THEM
sample-000072.mp3,ANARKY OF YOU DOK ABOUT IT
sample-000073.mp3,THE ACHIEVED RESULTS ARE FAR BEHIND THE STATE OF THE ART IN IMAGE LUSSIFICATION
sample-000074.mp3,I'LL BE BACK IN A MINUTE
sample-000075.mp3,JUDGE DEBORA SENT ME
sample-000076.mp3,A LARGE PIECE SUDDENLY CAME OFF AND FELL WITH A LOUD AND SHARP NOISE
sample-000077.mp3,IT LEFT A GREENY STREAK THAT GLOWED FOR SOME SECONDS
sample-000078.mp3,THE HOMELESS SEEMED TO LIKE SOUP
sample-000079.mp3,AND FINALLY THE FALCON RETURNED WITH THEIR MEAL
sample-000080.mp3,TWO MORE MONTHS PASSED AND THE SHOLT BROUGHT MANY CUSTOMERS INTO THE CRYSTAL SHOP
sample-000081.mp3,HE DECONTED THE WINE AND BEGAN TO RECOUNT THE DISTURBING STORY HE HAD BEEN TOLD
sample-000082.mp3,AT LEAST SHE KNOWS HOW TO BEHAVE AT FUNERALS
sample-000083.mp3,LOOK AT THE POLICY I GAVE HIM
sample-000084.mp3,THEN I DON'T GET PAID
sample-000085.mp3,I GOT TWO GIANT BULKBITES ON MY RIGHT LEG FROM LAST NIGHT AND THEY HURT
sample-000086.mp3,BUT THEY REALLY DON'T KNOW WHAT THEY'RE SAYING
sample-000087.mp3,AND ALSO BY UNHAPPINESS ENVY AND JEALOUSY
sample-000088.mp3,SOME OF THE GREY ASH WAS FALLING OFF THE CIRCULAR EDGE
sample-000089.mp3,THE STRANGER SEEMED SATISFIED ITH THE ANSWER
sample-000090.mp3,I DON'T CARE WHAT YOU CHARGE THEM WITH
sample-000091.mp3,WHAT A BOSS ALL THAT
sample-000092.mp3,IT WAS THE FIRST TIME SHE HAD DONE THAT
sample-000093.mp3,IT WAS FAINTLY MARKED WITH TRANSVERSE STRIPES AND SLIGHTLY FLATTENED FROM THE PERFECT ROUND
sample-000094.mp3,WE CAN'T LET THE CHRONICLE GET THE LAUGH ON US
sample-000095.mp3,YOU'RE FAR TOO VALABLE
sample-000096.mp3,THEY EAT LUNCH TOGETHER OFTEN BUT DON'T REALLY TALK OUTSIDE THE OFFICE
sample-000097.mp3,A HALF OF HELOT
sample-000098.mp3,HUNCHES HIS MOTHER USED TO CALL THEM
sample-000099.mp3,IT IS RECOMMENDED TO DRINK AT LEAST TWO LEADERS OF WATER A DAY
sample-000100.mp3,VIBRATIONS OF PEACE TELER CONTENT
sample-000101.mp3,THOMAS WENT TO WAR
